,Text,Predicted_SDGs,Top_Keywords_for_SDG 16,Top_Keywords_for_SDG 17,Top_Keywords_for_SDG 3,Top_Keywords_for_SDG 15,Top_Keywords_for_SDG 8,Top_Keywords_for_SDG 11,Top_Keywords_for_SDG 2,Top_Keywords_for_SDG 4,Top_Keywords_for_SDG 1,Top_Keywords_for_SDG 6,Top_Keywords_for_SDG 5,Top_Keywords_for_SDG 12,Top_Keywords_for_SDG 14,Top_Keywords_for_SDG 10,Top_Keywords_for_SDG 9,Top_Keywords_for_SDG 7,Top_Keywords_for_SDG 13
150,"Inquiry into social housing as infrastructure The overall aim of 2017A is to investigate national and relevant international experience of social housing and broader infrastructure investment to strategically inform an investment pathway for
social housing across Australia. It will investigate this issue from three related perspectives: policy rationale, frameworks for economic analysis and the practicalities of investment.","SDG 3, SDG 5, SDG 7, SDG 8, SDG 9, SDG 11, SDG 16, SDG 17","educational_policy, environmental_policy, european_strategic_policy, evidence-based_policy, evidence-informed_policy","coordinated_policy, millennium_development_goals_policy_response, sustainable_development_goals_-_sdgs, sustainable_development_planning, product_development_partnerships","nepalese_experience, healthcare_policy, reproductive_health_policy_and_programmes, perinatal_mental_health_project, health_services_research",,"sustainable_return_on_investment, organizational_capacity_development, place_marketing_development, quality_of_working_life, economic_impact","housing, housing_associations, housing_microfinance, safe_housing, housing_finance",,,,,"unwanted_sexual_experience, abortion_law_and_policy, international_womens_rights_frameworks, gender_and_development, women_and_development",,,,"ecological_infrastructure, infrastructure, public_infrastructure, regional_infrastructure, reliable_infrastructure","biofuel_policy, coal_mine_methane_policy, energy_infrastructure, energy_development, biopsychosocial_model",
151,"NGV x Fed Square Atrium Commission
Knitted Architecture by Leanne Zilka and Jenny
Underwood This Commission is to enable RMIT researchers Dr Leanne Zilka and Dr Jenny Underwood to
generate new work focused on 3D knitting of textiles into speculative architectural elements.
This display is designed to create awareness around the architectural potential of 3D knitting,
coupled with innovations in digital design and textile development. The commission will enable
Zilka and Underwood to produce approximately seven textile works for display during the 2021
Festive season in collaboration with NGV and Fed Square.

The Commissioned Work(s) consists of seven textile pieces with zips to allow for installation
around each substructure",,,,,,,,,,,,,,,,,,
152,"Innovations in stock matching and allocations for social housing (21/PRO/53247) Social housing allocation systems are under significant pressure, resulting in major stock matching challenges.
This project integrates Australian policy and practice knowledge, a national overview of needs and supply, and international innovation to develop cost-benefit evaluation framework and propose alternative strategies for allocation and matching policies. ","SDG 3, SDG 6, SDG 8, SDG 14, SDG 16, SDG 17","legal_framework, fisheries_policies, gavi_policies, international_policies, macroeconomic_policies","the_integrative_worldview_framework_(iwf), coordinated_policies, sdg_evaluation, post-2015_development_framework, millennium_development_goals_policy_response","basic_needs, cost_of_illness, who_framework_convention_on_tobacco_control_(who_fctc), evaluation_des_soins_de_sante, quality_of_life",,"evaluation_economique, economic_evaluation, quality_of_working_life, financial_risk_protection, financial_development",,,,,"drinking-water_supply, water_cost, drinking_water_supply, rural_water_supply, rural_water_supply_and_sanitation",,,"fish_stock, marine_pollution_abatement_and_ambient_water_quality_improvement, drinking_water_quality, melamchi_water_supply_project, national_water_resource_strategy",,,,
153,Investigation of remaining service life of railway infrastructure RMIT and Metro Trains Melb to co-fund a Professorial Chair in the School to coordinate collaborative reserch activities with MTM.  The Chair wil lead strategic and practical research for asset management of railway infrstructure managed by MTM.,SDG 9,,,,,,,,,,,,,,,"ecological_infrastructure, infrastructure, public_infrastructure, regional_infrastructure, reliable_infrastructure",,
154,"Upcycling Domestic Food Waste: How To Make Better Compost, Faster Microbial decomposition of organic matter is the underlying mechanism that enables us to reduce the volume of our domestic food waste and transform it into valuable compost. This upcycled product can enhance the physical, chemical and biological properties of soil, enabling us to grow healthier plants and tastier food in our urban environment. There is widespread understanding of the conditions conducive to microbial decomposition of organic matter. Internal factors (physical and chemical composition of the food waste; size, activity and composition of the microbial community) and external factors (temperature, water content, aeration, additives) all play a role. This research will explore which factors are the most important to this specific application: home composting in urban Australia. Further, the project will seek to develop recommendations as to how these factors can be optimized to produce compost faster. A replicated factorial experimental design will alter individual factors and combinations of factors.  The approach will be grounded in the needs and realities of the industry serving the home compost market, with a combination of laboratory and full-scale field trials. ","SDG 3, SDG 15",,,"clinical_trials, quality_healthcare, quality_of_life, disability-adjusted_life_years, family_planning_programs","soil, soil_fertility, soil_salinisation, soil_stabilization, soil_properties",,,,,,,,,,,,,
155,"Safewards Interventions and Mental Health Recovery This project aims to strengthen the impact of the Safewards Model on reducing restrictive interventions and to increase its contribution to mental health recovery processes. For doing this the project will:
• identify best practices in the Safewards Community of Practice within and beyond the 10 interventions
• produce a series of toolkits for scaling-up these practices, facilitate their implementation across mental health service providers in Victoria, and guarantee their sustainability over time.
The project will build on Participatory Design methodologies that will facilitate a user-centred innovation process that will prioritise the experiences, expertise and skills of Safewards Community of Practice and mental health service users du ring the project.",,,,,,,,,,,,,,,,,,
156,"Building Australia-China research capabilities for intercultural knowledge collaboration (administered by University of the Sunshine Coast) This project will increase knowledge collaboration, educational connectivity and cultural engagement between Australia and China. It aims to improving the transcultural research capabilities of research supervisors and students in Mainland China and Australia. This project will create and trial five research-based modules on Chinese and Australian history and culture, multilingual knowledge co-construction, supervisory relationships and time mapping. The project will enhance the China literacy of Australian supervisors and universities particularly through increasing their awareness of Chinese intellectual history and culture and enhancing the supervision of Chinese research students.

This multi-sited project will generate community energy through art exhibitions, which showcase time maps of supervisors? and students? intellectual trajectories in Sydney, Beijing and Changchun. A cascading training model will be employed to sustain the impact of this project where Australian and Chinese tertiary educators will be trained to deliver subsequent modules. A project website, which will provide training modules, case studies and contact avenues, will be developed. Williams?, Bunda?s, Claxton?s and MacKinnon?s (2017) Indigenous Knowledge global decolonisation praxis approach will promote transformative learning experiences and draws upon Indigenous Knowledge principles of respect, relationality, reciprocity and responsiveness.",,,,,,,,,,,,,,,,,,
157,"Research for the development of the City West Water Werribee Site This research project is a collaboration between RMIT, City West Water (CWW) and Greening the West (GTW) which will research, explore and develop the City West Water Werribee Site (""the Project""). This Project will be facilitated through a partnered research studio in which the themes researched and explored will include the potentials for green infrastructure across scales, innovative approaches to water management across scales, staff amenity and wellbeing within an industrial plant and innovative approaches to material use (including vegetation) to support these. Underpinning these explorations are broader questions of climate change adaptability and sustainability.","SDG 14, SDG 15",,,,"plant_genetic_resourse, land_use_modelling, land_use, land_use_scanner, land_use_trajectories",,,,,,,,,"agroforestry_themes, groundwater_use, local_groundwater_balance_model, groundwater_quality, national_water_resource_strategy",,,,
158,"Green Adelaide Marine Pest Research The Green Adelaide marine pest program is Adelaide's only dedicated surveillance monitoring for new marine pests incursions across eastern Gulf St Vincent. The program was established in 2016, and established an array of settlement plate sampling stations at strategic locations of high use boating traffic across Adelaide. Genetic and dive survey information obtained from the program is used to inform the state jurisdictional marine biosecurity reports, which is provided to the Commonwealth for reporting against the National biosecurity strategy. Combined with information of pest incursions identified through the marine biodiversity surveys of reef and seagrass ecosystems, these three programs form the evidence to assess native marine habitat and biodiversity health. ","SDG 3, SDG 11, SDG 14, SDG 16","political_settlement, road_traffic_deaths, sanitary_survey, global_water_governance, sustainable_water_governance",,"traffic_accidents, health_information_systems_project, health_information_system, health_management_information_systems, quality_of_srh_services",,,"sustainable_settlement, road_traffic_injuries, population_growth, language_and_culture, model_villages",,,,,,,"coral_reef, groundwater_use, local_groundwater_balance_model, groundwater_protection, international_water_resources_law",,,,
159,"Smart sensing of toxins (Scholarship top up) The ability to quickly and cheaply detect the presence of toxins in the environment is paramount for the conservation of our delicate ecosystems and for the prompt identification of sources that couldcompromise human health; this issue can be addressed with highly sensitive, portable devices based on adaptive porous materials. The vision for this project is to build a portable platform for the immediate detection of toxins in the environment so that accurate, real-time monitoring can be performed (e.g. testing of storm water runoff to monitor for pollution).","SDG 3, SDG 6, SDG 13, SDG 14, SDG 15, SDG 16","wildlife_conservation, union_for_international_cancer_control_-_asia_regional_office, policy_support_tools, quality_of_mortality_data, world_water_day",,"counseling_and_testing_hiv/aids, hiv_testing, integrated_maternal_and_child_healthcare_system, drug_development, drug_use_and_trafficking","mountain_ecosystems, tropical_ecosystems, land_use_modelling, land_use, land_use_scanner",,,,,,"pollution, poor_quality_water_use, drinking_water_treatment, point-of-use_water_treatment, water_treatment",,,"soil-water_conservation, marine_pollution, marine_pollution_abatement_and_ambient_water_quality_improvement, groundwater_use, international_water_resources_law",,,,"diffuse_pollution, pollution, indoor_air_pollution, urban_air_pollution, pollution_control"
160,"Identifying counterfactuals for quantifying the value of avoided loss The project’s objectives are to develop, build on and improve applications of counterfactual analysis to better quantify estimates of avoided loss of vegetation for private land conservation in NSW. Specifically, this comprises three objectives:
(i) identifying control sites on private land specifically for quantifying the observed loss of vegetation over time, allowing counterfactuals for conservation sites to be estimated that incorporate the risk of total loss 
(ii) evaluating the use of the Land and Soil Capability (LSC) spatial layer as a surrogate to estimate the risk of future biodiversity loss or degradation 
(iii) develop approaches to use predictive modelling and scenario analyses to predict likely future counterfactuals at existing and proposed conservation sites. ","SDG 11, SDG 14, SDG 15, SDG 16","wildlife_conservation, world_water_day, union_for_international_cancer_control_-_asia_regional_office, conservation_opportunity_areas, world_summit_for_sustainable_development",,,"degradation, forest_degradation, land_evaluation, land_use_trajectories, landscape_scale_mitigation",,"environmental_degradation, cities_and_sustainable_development, community-based_approaches, household_water_treatment, language_in_development",,,,,,,"soil-water_conservation, international_water_resources_law, international_water_law, marine_pollution_abatement_and_ambient_water_quality_improvement, groundwater_development",,,,
161,"Options for Supported Decision-Making to Enhance the Recovery of People with Severe Mental Health Problems This interdisciplinary project explores options for people with severe mental health problems to receive support in making decisions about their care and treatment in order to fulfil Australia's human rights obligations under the UN Convention on the Rights of Persons with Disabilities. Interviews with people with
severe mental health problems, carers and mental health practitioners and an international review of relevant laws will lead to the design of an internet based resource and training materials that explain supported decision-making and its role in enhancing the process of recovery. These outcomes will inform current reforms of Australian mental health laws.",,,,,,,,,,,,,,,,,,
162,"Water Centric City Initiative The UN Global Cities Compact based at RMIT runs a ""Cities Program"" whereby cities from around
the world join up and then engage on various levels of research activity. Becoming a partner city
cost various amounts depending on the level of participation short. It is quite important as it forms a
key component of the work that the Global Cities Compact performs.","SDG 5, SDG 11, SDG 16, SDG 17","participation_in_decision-making, union_for_international_cancer_control_-_asia_regional_office, intimate_partner_violence, world_water_day, policy_support_tools","sustainable_partner, sustainable_development_goals_-_sdgs, millennium_development_goals_policy_response, world_commission_for_water_in_the_21(st)_century, product_development_partnerships",,,,"city, rural_city, safe_city, smart_city, sustainable_city",,,,,"male_participation, sex_partner, gender_and_development, gender_indicators, national_gender_mechanisms",,,,,,
163,"Mechanisms and Platforms for Acoustomicrofluidic Intracellular Delivery This project aims to advance a novel platform to facilitate faster and more effective molecular transport into cells as a means for enhancing cell engineering. Besides elucidating the fundamental physicochemical and biological mechanisms underpinning this new method of intracellular transport through a combination of theoretical modelling and advanced imaging and neutron diffraction, the project aims to show the scalability of the technology for high throughput processing to handle the large cell numbers typically required for doses to be effective in practice. Given recent breakthroughs in cell therapies, it is expected that translation of the technology in the longer term will improve treatments for cancer and other infectious diseases.","SDG 3, SDG 6",,,"burden_of_diseases, combat_tropical_diseases, communicable_diseases, diseases, environmentally_transmitted_diseases",,,,,,,"diarrhoeal_diseases, sanitation_business, colonial_water_policy, water_infrastructure, water_infrastructure_planning",,,,,,,
164,"Older Australians & Technology: Making the Connection (OatMc) The OatMc project aims to explore how older Australians use technology to communicate with their social networks. We seek to better understand technology usage patterns supporting connectedness and enhancing social participation. Previous research on this area have provided mixed outcomes. In some cases, technology is seen as a fundamental tool in engaging seniors in key social activities. In other cases, technology is portrayed as a source of anxiety and fear. This project expects to generate novel insights for future research in the area of consumer socialisation by investigating experiences of isolation and connectedness, relationship with different forms of technology, and the consequence of interactions with technology within collaborative networks of people. Expected outcomes of this project will assist in reducing social isolation, thus improving health and well-being. These outcomes include proposed strategies for constructive engagement of technological solutions to combat isolation in older Australians","SDG 2, SDG 8",,,,,"expenditure_patterns, financial_risk, quality_of_working_life, financial_risk_protection, labour_market",,"dietary_patterns, hunger_data, poverty_reduction_strategy_papers, poverty_reduction_strategy, poverty_reduction",,,,,,,,,,
165,"Assessing the efficacy of sunscreen testing methods This project aims to develop a new cost-effective in vitro method to reliably test and validate the performance of sunscreens including the determination of sun protection factor (SPF), broad spectrum and water resistance without the need for human testing. This will be achieved through a combination of nanostructured skin mimicking surfaces, a UV-active ink and automated sunscreen spreading. ",SDG 3,,,"antibiotic_resistance, antimicrobial_resistance, artemisinin_resistance, counseling_and_testing_hiv/aids, hiv_testing",,,,,,,,,,,,,,
166,"New strategy for managing diabetic retinopathy - evaluation of somatostatin formulations Somatostatin is a broadly inhibitory endogenous peptide. It is known to have neuroprotective, anti-proliferative and anti-angiogenic actions in the retina. We hypothesise that endogenous somatostatin is a potential drug candidate for managing early stages of this debilitating eye disorder, if an effecive drug delivery system can be developed. This project aims to evaluate the ocular toxicity and efficacy of somatostatin formulations using human muller glial cell line.",,,,,,,,,,,,,,,,,,
167,DNA nano biosensor for cancer diagnostics (Administered by University of Melbourne) DNA nano biosensor for cancer diagnostics ( Administered by University of Melbourne),SDG 3,,,"cancer, cervical_cancer, pediatric_cancer, diagnostics, breast_cancer_screening",,,,,,,,,,,,,,
168,"Greening the Greyfields (GtG) - A New Zoning Tool The project considers constrains on existing Local Government law and governance, as well as opportunities for law reform to progress a new land use and development zoning tool - Greening the Greyfields (GtG).

As this is a ground breaking and significant land use planning and development tool, with significant impact for Australia and beyond, research generated from this project will be used and applied directly in a university teaching and learning context. Outputs from this project will further contribute to other research projects conducted by RMIT in urban law tools and reforms. ","SDG 14, SDG 16","coastal_governance, corporate_governance, democratic_governance, environmental_governance, global_governance",,,,,,,,,,,,"ocean_governance, transboundary_water_governance, international_water_resources_law, marine_pollution_abatement_and_ambient_water_quality_improvement, national_water_resource_strategy",,,,
169,"Workplace   stress and well-being through a genomic lens  This research project aims to scope (or explore) the relationships between workplace stress, genomic systems, and disease with a view to identifying the potential implications for research and business between workplace stress, genomic systems, and disease with a view to identifying the potential implications for research and business. In so doing, the research will explore the potential for the development and implementation of an intervention model focused on workplace stress management. The exploration will aim to provide a framework that balances employees and organisational needs, one which is capable of guiding business and policy to better protect employee well-being while enhancing the bottom line for business. This research will help translate the public health approach into a set of interventions that are suitable for organisations to adopt. Objectives of the research are to: * deepen our understanding of the genomics of workplace stress and well-being; * identify the genetic markers required to assess and monitor the effects of stress on an organisation's workforce; * identify viable genetic testing options for assessing employees who may be at greater risk of developing workplace stress-related illness; and * identify potential interventions derived from the research that are likely to reduce stress-related illness.","SDG 3, SDG 4, SDG 8",,,"severe_mental_illness, waterborne_illness, medical_intervention, psychological_stress, cost_of_illness",,"midwifery_workforce, workforce, nature-based_tourism_management, quality_of_working_life, financial_risk",,,"educational_intervention, educational_system, learning-based_approach, quality_education, teachers_professional_development",,,,,,,,,
170,"What happened to the outside? Exploring the role of 'nature' in household retrofits This project aims to place ‘natures’, specifically, trees and plants, climate and heat, more firmly into discussions of household retrofit and fuel poverty, and to explore the implications of doing so for 
policy and practice. The project aims to produce a framework outlining the ways natures influence and  figure in experiences and practices of household retrofit. The following questions will guide the 
project:
1. Where, how and why do ‘natures’ figure in experiences and practices of household retrofit?
2. What do these experiences mean for retrofit and fuel poverty policy responses? How might this help broaden the lens through which we a) view the opportunities and barriers to retrofit 
and alleviate energy poverty, and b) focus policy and program responses? ","SDG 1, SDG 2, SDG 3, SDG 7, SDG 11",,,"chronic_poverty, drug_development, disability-adjusted_life_years, drug_use_and_trafficking, impoverishment_risks_and_reconstruction_model",,,"household, household_amenities, household_toilet, rural_household, collective_household_model","poverty_alleviation, poverty_eradication, medical_poverty_trap, multidimensional_poverty, multi-dimensional_poverty",,"absolute_poverty, educational_poverty, eradicate_poverty, extreme_poverty, global_poverty",,,,,,,"lpg_fuel_subsidies, biopsychosocial_model, leap_model, biodiversity_value, energy_development",
171,"Plastics & Microplastics – source control and mitigation (Candidate: Mahnaz Moeini) Plastic is a ubiquitous part of modern life, but it has the potential to cause harm to the environment and human
health if not effectively regulated. The majority of all manufactured plastics belong to the following polymer groups:
polypropylene (PP), low-density polyethylene (LDPE), high-density polyethylene (HDPE), polyvinyl chloride (PVC),
polyethylene terephthalate (PET) and polystyrene (PS). Additives such as fillers, plasticisers, flame retardants, UV
and thermal stabilisers, pigments and antimicrobial agents are incorporated during the manufacturing process to
achieve the desired performance and appearance of the final plastic product. ",,,,,,,,,,,,,,,,,,
172,"Codesigning participatory strategies with older adults to reduce perceived risk and promote digital inclusion As the COVID19 pandemic has highlighted, digital engagement is crucial in fostering social inclusion. Social exclusion is a significant threat to the wellbeing of older adults. One of the critical motivations for seniors’ lack of engagement with ICT and the digital economy, is perceived security risks. While online threats exist, seniors’ often base security concerns on perceptions of risk. This project adopts an innovative multidisciplinary approach that focusses on codesigning strategies with older adults to take into account their lived
experiences of ICT—connecting practice with perceptions. By managing perceived risks, seniors are better equipped to engage with the digital economy.","SDG 3, SDG 8, SDG 10, SDG 16","exclusion, environmental_security, nutrition_security, social_security_policy, social_security_reform",,"adults, young_adults, comprehensive_social_security, health_security, impoverishment_risks_and_reconstruction_model",,"financial_security, economic_security_trap, quality_of_working_life, gross_domestic_product_growth, non-health_gross_domestic_product_loss",,,,,,,,,"financial_inclusion, political_inclusion, development_impact, financial_inclusion_index, development_indicators",,,
173,"A Sorrowful Act: The Wreck of the Zeewijk Publication (City of Melbourne) This new project derives from a broader investigation within my work to unearth hidden queer histories in Australia. It will constitute the largest, most ambitious and most diverse body of work I have made to date. It involves a significant change in methodology, with me using archival research, maps from the Stokes Collection, artefacts from the WA Shipwrecks Museum and documents from the Dutch National Archives, in addition to my own work. It is a dynamic, multi-layered project which lends itself to multiple iterative encounters.  This grant will assist me to develop this work beyond the delays that have occured due to COVID-19 and to generate alternate iterations of the project in the form of a custom website and a print publication. I have some confirmed funding from the Australia Council for the
publication, but the website is to date unfunded.",SDG 5,,,,,,,,,,,"maternal_delays, safe_motherhood_programs, women_and_development, women_in_development, gender_and_development",,,,,,
174,"Feasibility study into the possible inclusion of social norms measures within the 2021 National Community Attitudes towards Violence against Women Survey The aim of this project is to conduct research into the feasibility of including social norms measures within the 2021 NCAS. The study will involve a review of both the theoretical and empirical literature on social norms, documentation of existing survey instruments, as well as a feasibility assessment to determine potential methodological considerations for including a social norms measure within the 2021 NCAS. The focus of the study would be in the areas within the scope ofNCAS (attitudes to violence against women and gender equality). However, research in other related areas may be relevant.","SDG 5, SDG 10, SDG 16","norms, union_for_international_cancer_control_-_asia_regional_office, policy_support_tools, evidence_to_policy, world_water_day",,,,,,,,,,"equality, gender_indicators, gender_and_development, gender_roles, national_gender_mechanisms",,,"equality, foreign_and_development_aid, official_development_aid, total_official_support_for_development, development_indicators",,,
175,"Towards ecological bushfire management models  ""We propose a multidisciplinary workshop gathering scientists and stakeholders from various domains: ecology, social science, technology, Earth observation science, data science, computer science and mathematics, so as to identify new opportunities and research avenues for bushfire management and, more generally, for land management. 

Real case optimisation modelling can be roughly defined as the combination of a CONTEXT, related DATA, MATHEMATICAL AND COMPUTATIONAL ANALYSES and NUMERICAL IMPLEMENTATION.  Here, we will focus on the three first components. The implementation and computational tests will be addressed later for specific identified problems.  Following this logic, the workshop is organised in three days: 
1. Ecological wager of fire and alternative practices including notably the impact of fires on emblematic species and the question of traditional Aboriginal fires 
2. Data science for ecological data that merges data mining, geospatial sciences and space technologies.
3. Ecological and ecosystem perspective in model-based bushfire management: a capstone on how to embed the conclusions of the two first days into mathematical optimisation models for fire land management.

The workshop is scheduled from 12 to 14 November 2018 in room 80.04.20 and 80.04.21.  It includes a public lecture (by Cristina Montiel Molina Professor of Regional Geography, University Complutensa of Madrid / Pau Costa Foundation,  Spain) during the evening of 12 November in  80.07.01 (topic to be announced). We expect 40 participants for the workshop and 80 for the public lecture.

It will be the opportunity to engage, internally, with the Sir Lawrence Wackett Centre and aerospace engineering and externally, with visitors from local and international universities.
",,,,,,,,,,,,,,,,,,
176,"Bioenergy and Green Chemicals Production from Chicken Litter Rich in Lignocellulosic Materials:  Mechanism and Process Optimisation The aim of this project is to investigate the feasibility of the application of organosolv and thermal pre-treatment for the solubilisation of biosolids produced from the anaerobic digestion of chicken litter. The solubilised biosolids will be recycled to the anaerobic digester as an organic resource to enhance biogas production and/or value-added products.
",,,,,,,,,,,,,,,,,,
177,Nanostructures and their application for enhancing photocatalytic activity of CO2  (CSIRO PhD scholarship) This PhD project focuses on fundamental research of nanostructured photocatalysts for CO2 conversion. The aim is to develop a synthesis method for hybrid nanostructures in a controlled manner and to investigate the advantages of co-catalysts to design more efficient photocatalysts toward solar energy capturing and conversion of CO2 into fuels. The research will involve the synthesis and characterization of materials; thermal and photocatalytic performance tests for CO2 reduction; and investigation of the reaction mechanism by the comparison of different catalysts.,SDG 3,,,"malaria_rapid_diagnostic_tests, anaerobic_conversion, quality_of_life, quality_healthcare, disability-adjusted_life_years",,,,,,,,,,,,,,
178,"Computer-modelled materials design for metal organic frameworks - ID1 (Masters Candidate: Ibrahim Orhan) Can we teach chemical intuition to an AI in order to develop novel composite porous materials such as metal organic frameworks (MOFs) for direct CO2 capture from air faster than a human could conduct the same work? As we know material and material composite discovery and formulation is a time consuming process. If human input can be minimised in the design of an experiment and analysis of its subsequent results, it is likely that optimised research outcomes can be reached faster and more efficiently. AI has traditionally been
used for single compound discoveries. What is absent is how porous materials and composites can be formed from the existing pool of knowledge and how we can teach it chemical intuition for developing new porous MOFs and composite material systems.
The Student will assist CSIRO with using AI and computerized mathematical simulations and theory such as Monte Carlo simulations to predict, model and develop new MOF and MOF-polymer composite materials for CO2 capture from air . With the aid of AI and simulations, this Project will attempt to use Machine Learning (ML) in workflows to produce MOF materials and MOF-polymer composites that are specifically tailored for engagement for a range of applications and the student will be involved in projects with real-world outcomes. This will include modelling systems and developing the AI to predict MOFs for capturing CO2 at various partial pressures and concentrations.

CO2 capture from direct air and turn that into a work plan for a specialised chemist to
produce. The Project may result in discoveries of applications in the aerospace and
defence sectors, and it will align with work being carried by CSIRO for new MOFs for
CO2 capture and CO2Gen. This Project aligns with CSIRO's industrial project
",,,,,,,,,,,,,,,,,,
179,(P3) Project Planning for Aquatic Pollution Prevention Partnership 2018/23 This project is to establish the research program plan for the Aquatic Pollution Prevention Partnership (A3P) for the next 5 years. A workshop was held on Monday 30th July with Melbourne Water and key RMIT staff to develop research directions for the Partnership. Numerous possible research projects were discussed at this workshop and 27 high priority research projects were identified by Melbourne Water for further scoping. The objective of this project is for key RMIT staff to jointly develop short project proposals (typically 2-3 pages) with Melbourne Water for each of these 27 projects. preliminary reviews will be conducted by 2 post docs (Long and Hassell) during October to help identify what research has been done and to identify research directions for these projects. Priority literature reviews will be agreed by the RMC based on feedback from Melbourne Water.,,,,,,,,,,,,,,,,,,
180,"Artificial Intelligence in food system redesign ? Designing for the benefit of the whole (Student: Stephanie Camarena) The future of humanity is urban with a predicted 66% of people living in cities by 2050. However, with the sprawl of cities, agricultural knowledge is lost and the disconnection from the source of food growing emphasises issues of waste, resilience, food security and health. Climate change is adversely impacting the production of food in Australia whether in terms of quantity, quality and altogether availability.

Providing alternative and sustainable food systems requires an increased connectivity between demand and supply, the valorisation of local products, stewardship and local knowhow. Better models and techniques could support a way for local consumption to more closely match the production available or the production capacity in urban and peri-urban areas.

The research will develop a model based on a series of case studies using artificial intelligence (AI) applied to different parts of the food system. The system design thinking methods will allow observations and findings on how redesigning part of the food system can
improve the benefits of the whole and how adopting a service system design from the start might change the problem formulation. The proposed model could help evaluate city food policies and future planning and bring a clearer understanding of how habits and purchases
are directly linked to sustainable outcomes.","SDG 3, SDG 10",,,"contraceptive_availability, home_delivery, delivery, access_to_health_facilities, place_of_delivery",,,,,,,,,,,"planetary_stewardship, financial_inclusion_index, development_cooperation, foreign_and_development_aid, official_development_aid",,,
181,"Cooperation through Code: The social outcomes of blockchain technology This project aims to show the social consequences of using distributed ledger technology, including blockchains, for compliance, registries and regulatory processes. The project expects to generate new knowledge of how technology is changing administrative coordination between government and non-government entities. Expected outcomes include evidence of how blockchain technology is being applied to specific tasks and whether this improves on legacy systems. In addition to advancing social research on technological change, the project should provide benefits such as fairer strategies for effective regulation through technology, and an understanding of how these technologies in turn should be governed.
The project is expected to benefit civil society organisations by assisting them to understand the implications of blockchain technology for their existing processes and how they might use the technology for joint efforts. Benefits may include improving decision-makers’ ability to use this technology for more effective and efficient institutions. It may also assist with Australia’s preparedness for cyber security vulnerabilities stemming from social processes. The project is expected to help developers to understand how social factors can alter the effectiveness or outcomes of software protocols, and provide a framework for collaboration between social science and computer
science research.","SDG 4, SDG 10, SDG 16","birth_preparedness, development_policy_framework, policy_sciences_analytical_framework, union_for_international_cancer_control_-_asia_regional_office, policy_support_tools",,,,,,,"educational_legacy, teachers_professional_development, educational_system, learning-based_approach, quality_education",,,,,,"intersectoral_coordination, development_impact, development_planning, development_indicators, middle_level_income_country",,,
182,"National community attitudes survey on violence against women Anastasia Powell from the School of GUSS has been asked by ANROWS to be a Chief Investigator on the research
group formed for implementing the National Community Attitudes Survey Towards Violence Against Women (NCAS). The specific project that Anastasia will be working on comprises three key components:
? redevelopment of the NCAS survey instrument, inclusive of an online trial of items, cognitive testing and
piloting;
? implementation, analysis and reporting of a population level survey using the redeveloped instrument;
? communications and knowledge transfer and exchange.",,,,,,,,,,,,,,,,,,
183,"Upcycling solutions for hazardous claddings and co-mingled waste The rectification work of hazardous claddings is adding over 750k tons of plastic waste to 2.5M tons of co-mingled waste produced each year in Australia. This project will drive the development of a new plant in Victoria to upcycle these resources into higher value end-products such as recycled shoes and prefabricated building elements. The process is further developed based on innovative and proven
methods to fully recover plastics wast. At the end of their lifespan, shoes and prefabricated building elements can be recycled and boost the complete circular economy of co-mingled waste. This project will provide essential support to Sebastian Property Services and partners to commercialise recycled plastic products from hazardous claddings.",SDG 15,,,,"plant_genetic_resourse, land_use_modelling, land_development_phase, land_use, land_use_scanner",,,,,,,,,,,,,
184,"Persistent Energy Hardship The research project Objectives are:
• to estimate the proportion of people experiencing persistent energy hardship (based on positive
responses to the measures 'unable to heat or cool the home' and/or 'could not pay gas, electricity or
telephone bills on time' over several years).
• identify relevant household characteristics among this group, including age, household size/type,
housing tenure, urban/regional location, income, years living in Australia, and employment status.","SDG 4, SDG 5, SDG 7, SDG 11",,,,,,"household, household_amenities, household_toilet, rural_household, household_survey",,"educational_status, educational_system, quality_education, learning-based_approach, evaluation_of_educational_dynamics",,,"womens_status, gender_and_development, women_and_development, women_in_development, funding_for_womens_rights",,,,,"electricity, electricity_generation, non-hydro_electricity_generation, levelized_cost_of_electricity, electricity_sector_reform",
185,The Future of Food The project is designed to foster public debate and better decision making around the implications of climate change and other pressures on agriculture and food in Victoria.,"SDG 2, SDG 3, SDG 6, SDG 8, SDG 11, SDG 13, SDG 15, SDG 16, SDG 17","food_and_agricultural_organization_(fao), oregon_biodiversity_project, regime_change, food_and_agricultural_policies, climate_finance","global_change, post-2015_debate, post-mdg_debate, post-2015_development_framework, millennium_development_goals_policy_response","food_pathogen, social_change, perinatal_mental_health_project, injury_research, health_services_research","land-use_change, irrigated_agriculture, precision_agriculture, tropical_agriculture, agriculture_and_food_security","occupational_change, organizational_change, organizational_capacity_development, quality_of_working_life, financial_development","millennium_village_project, millennium_villages_project, urban_planning_and_development, cities_and_sustainable_development, housing_design","dietary_change, food, food_and_fodder, food_handler, food_price",,,"aquapot_project, colonial_water_policy, integrated_water_resources_management, water_resources_management, water_infrastructure_planning",,,,,,,"environmental_change, climate_forestatiion, climate_desertification, climate_refugees, climate"
