,Text,Predicted_SDGs,Top_Keywords_for_SDG 3,Top_Keywords_for_SDG 9,Top_Keywords_for_SDG 12,Top_Keywords_for_SDG 15,Top_Keywords_for_SDG 16,Top_Keywords_for_SDG 17,Top_Keywords_for_SDG 2,Top_Keywords_for_SDG 5,Top_Keywords_for_SDG 8,Top_Keywords_for_SDG 10,Top_Keywords_for_SDG 1,Top_Keywords_for_SDG 4,Top_Keywords_for_SDG 11,Top_Keywords_for_SDG 13,Top_Keywords_for_SDG 6,Top_Keywords_for_SDG 14,Top_Keywords_for_SDG 7
91,"Who's who in the zoo:  Mapping key stakeholders in Australia's energy transition This project will:
-  map key industry, government and civil society stakeholders currently engaged in the dialogue about Australia's energy transition
- build a database that can be used by FFCRC members and updated regularly by the research team in consultation with industry
- provide an overview of key messages per sector stakeholder
- catalogue the range of white papers, reports and websites generated by each sector stakeholder",,,,,,,,,,,,,,,,,,
92,"Novel bioremediation tools for nitrogen contaminated groundwater Groundwater contamination with nitrogen (nitrates, ammonia and organic nitrogen) is a global issue reducing the
quality of groundwater and restricting its use (WHO, 2011). The current standard approaches for nitrogen remediation
of groundwater are costly and invasive with water being brought to the surface and treated ex situ before replacement
in the aquifer.

The proposed project will investigate augmenting natural attenuation and bioremediating nitrogen contaminated
groundwater in situ. The research has three modules:

Module 1: Assess why current natural attention in selected aquifers is ineffective over 2 years.

Module 2: Use RMIT mesocosms to test the effects of carbon sources and concentrations, indigenous vs. added
microbes to environmental variables ( pH, salinity) to improve bioremediation.

Module 3: Test the preferred approaches from 1 and 2 on in situ aquifers impacted by the water industry in year 3.","SDG 4, SDG 11, SDG 13, SDG 14, SDG 17",,,,,,"millenium development goals, millenium development goals, millennium development goals attainment, millenium development goal, progress towards millennium",,,,,,"learning approaches, environmental education, education for sustainability, distance learning, vocational education and training","environmental degradation, vegetable gardens, domestic wastewater treatment, millennium village project, environmental accounting housekeeping books (eah) of domestic wastewater","emerging pollutants, environmental changes, non biogenic household carbon dioxide emissions, indoor air pollution, climate mitigation",,"marine pollution abatement and ambient water quality improvement, international year of freshwater, fish species, rights-based fishery management, rainwater harvesting",
93,"National governance, accounting regulations and systemic stability: International evidence The importance of understanding global banking systemic risk was emphasised by the financial crisis of 2008 and the subsequent prudential regulatory reforms. Using the World Bank regulation database and Kaufmann et al. (2010)'s national governance index, our project provides an important dimension to these policy reform processes by considering the manner in which national governance, accounting regulations and systemic stability interact in both developed and developing worlds. It is important to model both developed and developing nations as experiences such as the Asian Financial Crisis, the Global financial crisis and the Greek crisis indicates that contagious risk can be sourced from a variety of regions. We also investigate how such association differs across banks in different banking market structures.","SDG 3, SDG 16","quality improvement and health systems strengthening, non-governmental organizations health systems strengthening, affordability, health systems guidance, health systems strengthening",,,,"accountability, governance reforms, sustainability governance, quality regulation, good governance",,,,,,,,,,,,
94,"Feasibility study (Phase 1) on Post-Consumer Timber Furniture Waste Recycling into Biochar and
 Carbonaceous Materials RMIT University has been in discussions with ISJO to develop feasibility study on understanding opportunities for timber waste recycling. Following RMIT meeting with ISJO on 20th October 2020, we would like to propose the following work program to help ISJO meet its goals for conversion of post-consumer timber furniture waste (contains paint/resin/rubber/plastic/upholstery fittings) into other useful materials.","SDG 7, SDG 12, SDG 16",,,"material recycle, informal recycling, material reuse, material recovery facilities, recyclables",,"international sustainable chemistry collaborative centre, gulf cooperation council, ngo initiatives, organisation for economic co-operation and development, united nations forum on forests",,,,,,,,,,,,"woodfuels, woody biomass, biofuels, sustainable energy investments, sustainable energy for all initiative"
95,"Explore Data-Driven Approaches to Solve Risk  (APR Intern Sruthy Skaria) Telstra, being a leading network operator in the Australia, has a large customer base and has been a leader in  providing the best service to customers across Australia. Due to sheer volume and distribution of the customers, Telstra has a huge risk profile in terms of managing the health of customer service. This includes the risk of fraud, bill non-payment, fake orders, credit-card chargebacks and several other risks that causes huge economic impact to Telstra’s Bottomline. On the other hand, Telstra must maintain its image in the eye of the customer through innovation in customer experience, specifically using Digital Assurance with voice, chatbots and other methods.
There is significant work done at Telstra in this area using AI and ML methods.
Telstra is looking for PhD candidate with excellent data science and machine learning skills who could explore datadriven approaches to solve these problems.",SDG 3,"health systems challenges, impoverishment risks and reconstruction model, communicable disease prevention and control, non-governmental organizations health systems strengthening, quality improvement and health systems strengthening",,,,,,,,,,,,,,,,
96,"Community Champions Project Evaluation WADSA Community Champions is a 36-month program that aims to develop people with disability's leadership attributes and assist in building connections with their local community. Community Champions will gain benefits likely to include enhanced skills in decision making, interpersonal skills, problem solving, achieving outcomes, coping with challenges and understanding and protecting rights of community participation for people with a disability.","SDG 2, SDG 3, SDG 8, SDG 10, SDG 11, SDG 16, SDG 17","people with disabilities, person with disabilities, individuals with disabilities, persons living with disabilities, management of disability",,,,"united nations disability convention, organisation for economic co-operation and development development assistance committee (oecd dac), nutrition governance and management, united nations interagency group for child mortality estimation, nutrition programs","millennium development goalspovertyeducationequitywomen, product development partnerships, partnership, sustainable development goal indicators, un decade of education for sustainable development","primary care community nutrition, child nutrition disorders/epildemiology/economics, food security and nutrition, nutrition disorders, poverty reduction strategy papers",,"organizational capacity development, professional development, organizational capacity building, quality of working life, laboratory workforce strengthening","immunization coverage disparities, health care disparities, health outcome inequality, human development indicators, sector-specific aid",,,"community-based disability workers, community volunteers, community resilience, community development, community networks",,,,
97,"Developing novel drug delivery strategies to target myeloid reservoirs of HIV in the brain A major barrier to curing HIV is the persistence of the virus in tissue sites such as the brain where anti-HIV drugs have limited ability to penetrate. HIV persistence in the central nervous system (CNS) is thought to contribute to ~50% of people living with HIV (PLWH) developing a form of cognitive impairment and may be related to the poor penetrance of anti-HIV drugs into the CNS. Therefore, new therapies and/or treatment strategies are required to deliver anti-HIV drugs to the brain. In this project we will develop and validate a
novel drug delivery molecule that binds to and directly delivers anti-HIV drugs to HIV-infected cells in the brain. Targeted drug delivery to the brain may improve drug efficacy, reduce risk of drug toxicity and reduce the role of HIV in driving neurocognitive disorders, thus improving outcomes for PLWH.","SDG 3, SDG 10, SDG 16","malarial drug resistance, quality improvement and health systems strengthening, antiretroviral treatment, human immunodeficiency virus, antiretroviral therapy",,,,"safe delivery care policy, justice delivery system, health research systems, health sector reforms programme (hsrp), national development planning",,,,,"human development indicators, health outcome inequality, delivery of health care/organization and administration, immunization coverage disparities, income levels growth",,,,,,,
98,"DESIAP international symposium: Capacity building in Design and Social Innovation in Asia-Pacific We aim to build capacity and impact in Design and Social Innovation (D&SI) through knowledge exchange between geographically-dispersed change-makers across SEAsia, building on strong industry partnerships. D&SI is an emergent and recognised alternative model of sustainable development to drive innovation and social entrepreneurship. We will cohere 12 D&SI practitioners from 9 countries in Kuala Lumpur, Malaysia for a symposium and workshop to facilitate rich exchanges on diverse, culturally respectful and contextually specific approaches of D&SI to develop projects and training resources. ECP funding will also strengthen our application for several competitive funding already submitted (eg. Australia-ASEAN Council Grant and AHRC GCRF UK).","SDG 8, SDG 16, SDG 17",,,,,"organisation for economic co-operation and development development assistance committee (oecd dac), organisation for economic co-operation and development, international sustainable chemistry collaborative centre, decentralised development cooperation, stakeholders participation","partnerships, partnership, product development partnerships, sustainable cooperation, millennium development goalspovertyeducationequitywomen",,,"organizational capacity development, organizational capacity building, entrepreneurship, work opportunities, sustainable economic development",,,,,,,,
99,"Assessing Progress in the Implementation of the Gender Equality Act 2020 This Funding is to support the expansion of research knowledge and to develop the evidence base underpinning the Gender Equality Act 2020 (Vic) (Act) and its implementation. The Activity covered by this agreement will assess progress towards gender equality in selected public sector entities and propose a framework for the effective implementation of the newly enacted Act. It focuses on the Department of
Transport – including VicRoads and PTV – and key selected public organisations associated with the transport sector, such as the Major Transport Infrastructure Authority and the Commercial Passenger Vehicle Authority. The Activity will identify obstacles which might hinder progress and develop a comprehensive framework that could be applied to enhance effective implementation of the Act across the broader public sector.
The Organisation will undertake the Activity as described in the Organisation's Funding Application. The
Activity will involve:
(1) analysis of policy and strategic documents of the different entities;
(2) 20 in-depth interviews from different entities; and
(3) delivery of 3 cross-entity focus groups;
(4) delivery of a final report detailing the Activity.","SDG 2, SDG 3, SDG 16, SDG 17","quality improvement and health systems strengthening, health services accessibility, non-governmental organizations health systems strengthening, quality improvement, integration of health services",,,,"organisation for economic co-operation and development development assistance committee (oecd dac), gulf cooperation council, health sector reforms, development policy framework, organisation for economic co-operation and development","sustainable development objectives, united nations sustainable development goals, sustainable development goal indicators, urban sustainable development goal, united nations millenium development goals","livelihood improvement, development aids, poverty alleviation, food security indicators, poverty eradication",,,,,,,,,,
100,"Reach, Train and Employ project. The Future Social Services Institute has been engaged by Council of the Ageing (COTA) to provide a developmental and outcomes evaluation of the Reach, Train and Employ project. The purpose of this project is to provide employment opportunities in the social service sector for people aged over 50 at risk of long term unemployment residing in Melton and Brimbank. This will be achieved by the delivery of an inclusive and supportive delivery model of the Certificate III Individual Support (Ageing and Disability) to the target audience. A place-based and consortium approach will be used to deliver the project, leveraging the roles and expertise of different organisations. The consortium consists of COTA, RMIT School Vocational Design and Social Context, RMIT Future Social Services Institute (FSSI) and Good Shepherd Australia New Zealand (GSANZ). The anticipated outcomes for participants are increased: employment security, resilience wellbeing and financial capability. The purpose of the funding program, Try, Test and Learn, is to deliver a pilot project that seeks to develop a scalable model for potential roll out across Australia. Likewise, this project is strongly aligned with the purpose of FSSI which seeks to demonstrate scalable models that address the challenges of the social service workforce.
","SDG 2, SDG 3, SDG 5, SDG 8, SDG 10, SDG 11, SDG 16, SDG 17","health services evaluation, health system evaluation, disability evaluation, health systems challenges, impoverishment risks and reconstruction model",,,,"safe delivery care policy, needs assessment, united nations interagency group for child mortality estimation, area of protection, nutrition security","sustainable development objectives, sustainable development goal indicators, sdg evaluation, urban sustainable development goal, europe horizon 2020","food security indicators, vulnerable people, vulnerable groups, livelihood improvement, livelihoods","gender vulnerability, women and childrens health, womens and childrens health, gender indicators, reproductive, maternal, newborn and child health","growth standards, health extension workers, economic evaluation, work opportunities, health care workforce","human development indicators, human development index, human development report, health outcome inequality, disadvantaged populations",,,"community-based disability workers, neighbourhood sustainability assessment, neighborhood sustainability assessment, vulnerable populations, community resilience",,,,
101,"Investigation into the health and wellbeing impacts of climate change in the communities of the Mornington Peninsula Shire and City of Greater Dandenong To identify climate change risks to the health and wellbeing of our communities. This includes all sectors of our community including: all ages and all socioeconomic age cohorts, householders, businesses (and their workers), CALO communities, people with disabilities, people experiencing homelessness and holiday makers.","SDG 2, SDG 3, SDG 5, SDG 8, SDG 9, SDG 10, SDG 11, SDG 13, SDG 14, SDG 16, SDG 17","health risk assessment, health needs assessment, health services evaluation, human wellbeing, health impact assessment","life cycle assessment, corporate sustainability, supply chain sustainability, social enterprises, life expectancy",,,"climate for evidence informed health system policymaking, cultural sustainability, health sector reforms, health policies, quality regulation","united nations millennium development goals, united nations sustainable development goals, whos millennium development goals, indicators of sustainability, united nations millenium development goals","food-water-energy-climate change nexus, vulnerable groups, health and social policy, food security indicators, climatic change and food security","womens and childrens health, women and childrens health, womens global health, womens health issues, reproductive, maternal, newborn and child health","village health workers, health care workforce, village health worker, child health surveys, financial risk protection","health outcome inequality, health care disparities, delivery of health care/organization and administration, health disparities, human development indicators",,,"neighbourhood sustainability assessment, neighborhood sustainability assessment, convention for the safeguarding of intangible cultural heritage, climate policy analysis models, community-based disability workers","climate change security, climate hazard, climate change mitigation, climate resilience, climate resilience",,"marine pollution abatement and ambient water quality improvement, coastal and marine fisheries, fish species, nutrition-sensitive fisheries, coastal zones",
102,"The Australian Urban Observatory research project - NSW Health, Northern Sydney Local Health District The Australian Urban Observatory is a digital platform that transforms complex urban data into easily
understood liveability maps across Australia’s 21 largest cities. The Observatory draws on ongoing
policy-relevant research and is located within the Centre for Urban Research at RMIT University. The
Observatory maps key liveability indicators found to be associated with health and wellbeing, and
provides a clear understanding of the liveability of cities. The Observatory provides information and
understanding to support resource allocation, future policy action and support to create equitable,
healthy and liveable places.

To continue the development of applied research around the key liveability indicators the Organisation has agreed to become a State Level research partner (2020/2021) and a Local Health District level research partner (2021/2022) covering x9 LGAs.","SDG 2, SDG 3, SDG 5, SDG 8, SDG 10, SDG 11, SDG 12, SDG 13, SDG 14, SDG 15, SDG 16, SDG 17","community health worker programmes, quality improvement and health systems strengthening, health services evaluation, health services accessibility, health system efficiency",,"environmental compliance, material recovery facilities, material recovery, sustainable production and consumption, sustainable practices","forest ecosystems, forest ecosystem services, landscape metrics, landscape scale mitigation, plant genetic resources treaty","health policy and systems research, global urban development policy, safe delivery care policy, sustainability policy, health research systems","urban sustainable development goal, sustainable development goal indicators, sustainable development indicators, sustainable development objectives, sustainable development goals","livelihood improvement, food security indicators, sustainable food systems, poverty mapping, urban food strategies","maternal & newborn health road maps, workplace equality, female community health volunteers (fchvs), equality, reproductive, maternal, newborn and child health","growth standards, organizational capacity development, organizational studies, green and inclusive economic growth, evaluacion economica","human development indicators, income levels growth, human development report, income expenditure growth, human development index",,,"smart sustainable cities, sustainable cities, safe cities, climate policy analysis models, sustainable urban forms","climate resilient urban development, environmental changes, climate policies, climate resilience, climate resilience",,"marine pollution abatement and ambient water quality improvement, marine ecosystems, marine biodiversity conservation, irrigation efficiency, coastal ecosystem",
103,"Activating social connection to address isolation in Australia (externally led by Swinburne University of Technology) Surveys of wellbeing repeatedly emphasise social isolation, but there is a gap in positive approaches that can be used to grow connection. This research aims to codesign toolkits to activate social connection for people and communities. Using a pre-tested evidence-based framework, experiences of vulnerable cohorts, and affordances of ways to connect on and offline, this project takes a strengths focus to develop a joined-up place-based strategy. Expected outcomes include world-first practical tools and guidance for local social connection activation and new knowledge about how interwoven on/offline services assist social connection. Increasing social connection is expected to improve individuals’ mental wellbeing and community resilience.","SDG 2, SDG 3, SDG 9","quality improvement and health systems strengthening, health services accessibility, non-governmental organizations health systems strengthening, health systems strengthening, health systems challenges","technology gaps, supply chain sustainability, infrastructure reconstruction, disaster resilience, inclusive innovation",,,,,"poverty gap, development aids, vulnerable groups, vulnerable people, social vulnerability",,,,,,,,,,
104,"Design of green spaces for biodiversity in cities My research aims to understand how green space design can lead to positive biodiversity outcomes using an ecological network approach. My fieldwork has been specifically targeted to assess how animals interact with existing green space design features, and how these interactions change in different contexts. I propose to collect temporally replicated plantpollinator interaction data in a representative sample of Melbourne?s green spaces, and will use a robust combination of observation and molecular techniques to characterise and quantify network structure and function. This approach has not previously been explored in urban areas. My project will, therefore, provide valuable baseline data on the functioning of urban ecosystems as well as practical recommendations for the design and management of green spaces in cities.","SDG 3, SDG 11, SDG 15, SDG 16, SDG 17","quality improvement and health systems strengthening, health system efficiency, health systems, trends, community health worker programmes, health systems research",,,"protected area of key biodiversity areas, forest ecosystems, forest ecosystem services, landscape metrics, mountain ecosystems","environmental management systems, health research systems, health policy and systems research, food and agricultural policies, global urban development policy","sustainable development strategies, sustainable development objectives, sustainable development goals, post-2015 sustainable development goals, urban sustainable development goal",,,,,,,"smart sustainable cities, sustainable cities, safe cities, smart cities, vegetable gardens",,,,
105,"GHD Subconsultancy Agreement - Werribee River Alternative Water for Environmental Benefit (administered by GHD Pty Ltd) Identify the data required to establish this framework
– Develop a framework of acceptable limits of water quality under a range of environmental flows water flow
rates to provide environmental benefit to the Werribee River (if the data are sufficient)
– Ensure the framework for acceptable limits is robust and transparent and may be used to guide use of
alternative water sources on other waterways systems
– Where data is insufficient document a process to develop a robust data set to support framework
development
– Using the framework for acceptable limits conduct an ecological risk assessment to assess the impact of
three options (two stormwater and one recycled water) on the environmental flow regime and water quality
risks as part of a net environmental benefit assessment.; and
– assess the ecological impact of using different amounts of stormwater and recycled water to provide water
for the environment in the Werribee river downstream of Melton Reservoir.

Subconsultancy initiated by GHD for Melbourne Water.","SDG 6, SDG 14, SDG 16",,,,,"water framework directive (wfd), european water framework directive, sendai framework for disaster risk reduction 2015-2030, sustainable water governance, wildlife conservation",,,,,,,,,,"water utility optimisation, improving water, water accessibility, improved water sources, river basins","marine pollution abatement and ambient water quality improvement, rainfall data, hydrology & water resources, inland fisheries, fish species",
106,"UN Global Compact - Cities Programme (Ballarat City Council) Through the City Partnerships Initiative, Ballarat City Council Is working to develop a sustainable urban development project or solution in collaboration with private sector, academia and civil society partners. The City Partnerships participation aims to achieve the following objectives:
Objective 1: Formation of a multi-sector taskforce to guide project development
Objective 2: Build capacity of Local Government practitioners to develop complex multi-partner projects
Objective 3: Design projects to attract investment and deliver multiple benefits/impact to partners
Objective 4: Better understanding of governance structures for public, private and civil society partnerships.
The Hobsons Bay City Council will showcase leadership in _collaborating with UNGC Cities Programme in developing a sustainable urban development project of the Council's choosing.","SDG 3, SDG 8, SDG 11, SDG 16, SDG 17","health-related millennium development goals, sustainable child development index (scdi), quality improvement and health systems strengthening, non-governmental organizations health systems strengthening, impoverishment risks and reconstruction model",,,,"organisation for economic co-operation and development, decentralised development cooperation, organisation for economic co-operation and development development assistance committee (oecd dac), development partnership, development organizations","sustainable development objectives, product development partnerships, united nations sustainable development goals, sustainable development planning, urban sustainable development goal",,,"sustainable economic development, organizational capacity development, growth standards, sustainable return on investment, entrepreneurship",,,,"cities and sustainable development, sustainable construction, developing communities, community development, indigenous economic development",,,,
107,"RP4-24 Uptake of process safety research in industry Decision making linked to workplace safety is relatively straightforward but process safety (that is avoiding low frequency, but high consequence events) is much more difficult. The hazards involved are much more complex (meaning that not every contingency can be covered in codes and standards) and yet the right choice must be made every time if disaster is to be avoided.","SDG 2, SDG 3, SDG 6, SDG 8, SDG 9, SDG 11, SDG 13, SDG 16, SDG 17","communicable disease prevention and control, health workforce planning, national health research systems, healthcare professional associations, sustainable disease control","corporate social responsibility (csr), corporate sustainability, corporate social responsibility, life cycle design, sustainable industry",,,"national disaster risk management agency (nadrima), sendai framework for disaster risk reduction 2015-2030, responsible research and innovation, governance of research for health, sustainability governance","sustainable development planning, regional sustainable development, sustainable development goal indicators, united nations sustainable development goals, global health convention","food supply chain wastes, food safety, sustainable food systems, food security indicators, climatic change and food security",,"quality of working life, organizational capacity development, health care workforce, financial risk protection, growth standards",,,,"decentralisation, integrated solid waste management, road accidents, municipal solid waste management, community-based disability workers","natural disasters, natural disaster, climate-related disasters, climate change security, adaptation pathway","sanitation safety planning, water safety plans, integrated water resources management, sanitation success indicator, sanitation chains",,
108,"Developing pedagogical solutions to linguistic and cultural barriers in design education supporting Asian architecture students (Administered by University of Newcastle) This project investigates the impact of linguistic and cultural differences on design communication and cognition in the architecture studio.  It then determines how this impact should be best addressed in current Australian curriculum, teaching and assessment strategies for design.  Through this process, a new pedagogical paradigm will be devised that can be implemented in architecture and design desciplines across Australian Universities.","SDG 3, SDG 4, SDG 5, SDG 16","health systems challenges, quality improvement and health systems strengthening, leadership in obstetrics and gynaecology for impact and change, intellectual disabilities, school health classes for cancer prevention",,,,"education policy formation, legislative gaps and challenges, education policy, educational policy, higher education policy",,,"girls school experiences, gender disparity in schooling, girls education, gender and curriculum, girls enrolment",,,,"educational transitions, education inequalities, education outcomes, evaluation of educational dynamics, education planning",,,,,
109,"(A3P) Risk Management Plan: Fluoride in environmental releases in the Melbourne region- case study Cardinia and Olinda Creeks Melbourne Water has a requirement under the Yarra Environmental Entitlement 2006 to supply environmental passing
flows at Cardinia Creek below Cardinia Reservoir and Olinda Creek via Stoneyford Creek below Silvan Reservoir.
Current operation of the water supply results in these flows being supplied by Silvan Reservoir, which has no added
fluoride. There has been a recent change of supply operations whereby water is being pumped from Cardinia Reservoir
to Silvan Reservoir. As Cardinia Reservoir receives and stores water from the Victoria Desalination Project which is
fluoridated before transfer to Cardinia Reservoir, environmental passing flows to Cardinia and Olinda Creek will now
contain fluoride.","SDG 2, SDG 6, SDG 14, SDG 15",,,,"land use change, land change science, land-use change, plant genetic resources treaty, flood",,,"food supply chain wastes, infant feeding behaviour, refugee, refugees, poverty reduction strategy papers",,,,,,,,"improved water sources, improved water access indicator, urban water supply, flood, municipal water supply agencies","defluoridation of water, local groundwater balance model, marine pollution abatement and ambient water quality improvement, ecosystem water determinants, international water resources law",
110,"The role of microglia in mediating the neuroendocrine responses in diet-induced obesity Obesity induces inflammation, making it harder to lose weight and increasing the risk for long-term health complications. Recent data suggest microglia, the brain major immune cells, may play a key role in driving the detrimental consequences of obesity. I will test if microglia are necessary for the development of obesity. This will tell us if by targeting the neuroimmune consequences of diets high in fat, we are able to restore healthy weight and curb obesity.","SDG 2, SDG 3, SDG 16","gestational diabetes mellitus, overweight and obesity, gestational diabetes, obesity, maternal obesity",,,,"maternal obesity pregnancy-related deaths maternal deaths, governance of research for health, climate for evidence informed health system policymaking, nutrition governance and management, health and education expenditure",,"child nutrition disorders/epildemiology/economics, food nutrition, infant and young child nutrition, nutrition disorders, infant nutrition",,,,,,,,,,
111,Investigating the feasibility of pyrolysis/co-pyrolysis of the Victorian Biosolids and Alum Sludge with other waste streams The proposed project aims to investigate the feasibility of pyrolysis/co-pyrolysis of the Victorian biosolids and alum sludge with other waste streams. The aim is to identify optimum operating conditions and co-pyrolysis ratio to achieve biochar with high quality and least contaminants including heavy metals.,"SDG 3, SDG 6, SDG 8, SDG 9, SDG 11, SDG 14, SDG 16, SDG 17","priority substances and priority hazardous substances (ps/phs), health systems challenges, health-related millennium development goals, health services accessibility, quality improvement and health systems strengthening","supply chain sustainability, corporate sustainability, ecosystem distress syndrome, small- and medium-sized enterprises (smes), sustainable industry",,,"international sustainable chemistry collaborative centre, quality regulation, cultural sustainability, sustainability governance, snv netherlands development organisation","sustainable development objectives, sustainable development goals, sustainable development goals (sdg's), millenium development goals, millenium development goals",,,"growth standards, sustainable economic development, socio-economic sustainability, quality of working life, employability",,,,"cities and sustainable development, sustainable construction, neighborhood sustainability assessment, faecal biomass, neighbourhood sustainability assessment",,"sustainable sanitation, improved sanitation coverage, resource-oriented sanitation, small-scale sewage systems, soil-water-waste nexus","eutrophication potential, marine pollution abatement and ambient water quality improvement, subsistence fishery, irrigation efficiency, ecosystem water determinants",
112,"Neighbourhood Liveability Audits for 5 Townships Across the Mitchell Shire (Mitchell Shire Council) The Department of Health and Human Services (DHHS) East Division working in partnership with Mitchell Shire Council, has requested Liveability Audits for five township areas across the municipality. These areas include: Seymour; Broadford; Kilmore; Beveridge; and Wallan. Each of these townships are facing shared liveability concerns within their unique contexts across the broad geographic region of the Mitchell Shire. The Healthy Liveable Cities Group at RMIT University will calculate and provide a range of neighbourhood level spatial
indicators to investigate liveability in these regional locations and identify any future spatial planning needs for these areas. The investigation that will be co-produced with Dr lain Butterworth (Principal Project Officer (Liveability), East Division Health Branch) and Tony Triado (Manager Health Integration & Partnerships, Goulburn) from the DHHS East Division.","SDG 2, SDG 3, SDG 6, SDG 8, SDG 9, SDG 10, SDG 11, SDG 14, SDG 15, SDG 16, SDG 17","health needs assessment, quality improvement and health systems strengthening, non-governmental organizations health systems strengthening, health services evaluation, affordability","cooperatives, infrastructure reconstruction, life cycle assessment, construction management, regional infrastructure",,"soil quality index, biodiversity indicators, biodiversity indicator, forest ecosystem services, landscape scale mitigation","needs assessment, quality regulation, local authorities, local governance, organisation","indicatorsi relevance, sustainable development goal indicators, sustainable development indicators, urban sustainable development goal, sustainable development objectives","livelihood improvement, livelihoods, food security indicators, food needs, livelihood loss",,"organizations, organizational studies, growth standards, organizational issues, employability","human development indicators, development assistance committee, development cooperation, disparities, distributional problems",,,"neighbourhood sustainability assessment, neighborhood sustainability assessment, communities, housing quality, millennium villages project",,"improved sanitation coverage, sanitation safety planning, integration, water infrastructure planning, sanitation success indicator","marine pollution abatement and ambient water quality improvement, subsistence fishery, irrigation efficiency, marine ecosystems, marine fisheries",
113,"Using real time data to understand housing insecurity Using 'real time' data to understand housing insecurity (19/PRO/53218)
This Project allows housing researchers to use event based day-to-day data in the newly available DSS DOMINO data set, offering the potential for more real-time risk-insight into investigate socio-economic relationships between housing, labour and welfare markets. This project includes an analysis of Commonwealth Rental Assistance recipients.","SDG 2, SDG 3, SDG 6, SDG 8, SDG 9, SDG 10, SDG 11, SDG 13, SDG 16, SDG 17","health services evaluation, health system evaluation, community health worker programmes, health status indicators, health information systems project","life cycle analysis, life cycle assessment, ecosystem distress syndrome, life cycle analysis (lca), supply chain sustainability",,,"safe delivery care policy, organisation for economic co-operation and development development assistance committee (oecd dac), national disaster risk management agency (nadrima), quality of mortality data, social protection programs","sustainable development goal indicators, sustainable development indicators, sdg evaluation, millennium development goalspovertyeducationequitywomen, sdg targets and indicators","food security indicators, livelihood improvement, poverty reduction strategy papers, poverty mapping, poverty analysis",,"health extension workers, work opportunities, child health surveys, economic evaluations, economic evaluation","human development indicators, human development report, human development index, health outcome inequality, development indicators",,,"household resilience, climate policy analysis models, community-based disability workers, health and demographic surveillance system, neighbourhood sustainability assessment","climate vulnerability index, climate resilience, climate resilience, climate impacts, climate change security","sanitation safety planning, sanitation success indicator, improved water access indicator, water safety plans, water infrastructure planning",,
114,"Design, Disaster and Development Research Forums Addressing the design, pedagogic and planning challenges of global mobility, migration and social inequality This project aims to:
•	Build interdisciplinary and cross school research collaboration across RMIT in the disaster, design and development fields
•	Consolidate and grow the nascent Australian-European university-industry research network on Design, Displacement and Recovery
•	Enabling a future European cohort of RMIT PhD students the opportunity to transition their careers into the Disaster and Development fields

In order the achieve these three aims, this proposal proposes hosting two research and industry forums in Europe:
1.	A 1 day RMIT forum June 28 with UNHCR, IFRC UNISDR and WHO in Geneva to consolidate industry research needs in the Design, Disaster and Development sectors, that can lead to a future H2020 RISE and/or ERC bid in 2018
2.	A 2 day RMIT EU forum July 5/6 in Barcelona, developing a European network of academic researchers in these sectors who can work together on future EU and philanthropic funding bids
","SDG 3, SDG 8, SDG 17","health-related millennium development goals, health systems challenges, health information systems project, non-governmental organizations health systems strengthening, quality improvement and health systems strengthening",,,,,"urban sustainable development goal, millenium development goals, millenium development goals, sustainable development objectives, millenium development goal",,,"growth standards, organizational capacity development, work opportunities, growth strategy, income growth",,,,,,,,
115,"Independent Review of a Pilot Water Sector Climate Change Adaptation Action Plan DELWP is seeking the expert peer review services of Dr Karyn Bosomworth (with support of her colleagues Dr Brian Coffey and Dr Melissa Neave) to advise DELWP whether the AAP meets good practice, meets the adaptation-related policy objectives of the Climate Change Act 2017 for the Victorian water sector, and does not have any significant omissions or errors.","SDG 2, SDG 3, SDG 6, SDG 7, SDG 9, SDG 10, SDG 11, SDG 12, SDG 13, SDG 14, SDG 16, SDG 17","disability studies, disability evaluation, quality improvement and health systems strengthening, disability adjusted life year, impoverishment risks and reconstruction model","supply chain sustainability, cooperatives, disaster resilience, responsible innovation, sustainable industry","sustainable practices, waste management strategy, environmental compliance, solid waste management, waste management",,"sendai framework for disaster risk reduction 2015-2030, sustainable water governance, sustainability policy, global water governance, safe delivery care policy","sustainable partner, sustainable development goal indicators, united nations sustainable development goals, sustainable development objectives, sustainable cooperation","livelihood improvement, food supply chain wastes, poverty reduction strategy papers, pro-poor interventions, sustainable food systems",,,"distributional problems, disparities, immunization coverage disparities, equality of access to srh services, development assistance committee",,,"climate policy analysis models, community-based disability workers, environmental accounting housekeeping books (eah) of domestic wastewater, community volunteers, resource efficiency","climate change adaptation, climate change mitigation, global warming commitment, climate change policy, climate adaptation","water utility optimisation, integrated water resources management, integrated water resource management, improved water sources, improved water access indicator","marine pollution abatement and ambient water quality improvement, international water resources law, global water partnership, national water resource strategy, crop water productivity","electricity sector reform, coal mine methane policy, efficiency of renewable energy, sustainable energy investments, sustainable energy for all initiative"
